FILE_VERSION	2.0.0
NO_OF_FRAMES	810
NO_OF_CAMERAS	4
NO_OF_MARKERS	5
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-01-09, 11:32:05.274	268270.80720153
DATA_INCLUDED	3D
MARKER_NAMES	Ball Butler - 1	Ball Butler - 2	Ball Butler - 3	Ball Butler - 4	Ball Butler - 5
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Measured	Measured
Frame	Time	Ball Butler - 1 X	Ball Butler - 1 Y	Ball Butler - 1 Z	Ball Butler - 2 X	Ball Butler - 2 Y	Ball Butler - 2 Z	Ball Butler - 3 X	Ball Butler - 3 Y	Ball Butler - 3 Z	Ball Butler - 4 X	Ball Butler - 4 Y	Ball Butler - 4 Z	Ball Butler - 5 X	Ball Butler - 5 Y	Ball Butler - 5 Z	
127	0.42000	0.000	0.000	0.000	-602.319	-204.276	1726.204	-596.212	-109.498	1725.887	-694.044	-76.340	1724.311	-630.055	-60.856	1723.412
128	0.42333	0.000	0.000	0.000	-602.101	-203.889	1726.174	-596.097	-108.076	1726.006	-694.418	-76.084	1724.364	-630.525	-60.375	1723.402
129	0.42667	0.000	0.000	0.000	-601.772	-203.273	1726.175	-596.431	-107.786	1725.913	-694.900	-75.986	1724.406	-631.072	-59.971	1723.424
130	0.43000	0.000	0.000	0.000	-601.546	-202.825	1726.121	-596.430	-107.203	1725.900	-695.240	-76.041	1724.369	-631.445	-59.542	1723.443
131	0.43333	0.000	0.000	0.000	-601.285	-202.301	1726.069	-597.273	-107.410	1725.825	-695.506	-76.425	1724.257	-631.949	-59.146	1723.437
132	0.43667	0.000	0.000	0.000	-600.838	-201.278	1726.130	-597.126	-106.018	1725.979	-696.022	-75.991	1724.333	-632.512	-58.655	1723.475
133	0.44000	0.000	0.000	0.000	-600.393	-200.284	1726.195	-597.720	-105.950	1725.925	-696.536	-75.647	1724.422	-632.832	-58.714	1723.297
134	0.44333	0.000	0.000	0.000	-600.141	-199.847	1726.153	-597.967	-105.608	1725.851	-696.888	-75.807	1724.344	-633.529	-57.967	1723.405
135	0.44667	0.000	0.000	0.000	-599.800	-199.164	1726.150	-597.735	-103.944	1726.020	-697.221	-75.833	1724.277	-634.015	-57.326	1723.438
136	0.45000	0.000	0.000	0.000	-599.539	-198.625	1726.123	-598.226	-103.833	1725.896	-697.708	-75.703	1724.285	-634.483	-57.122	1723.354
137	0.45333	0.000	0.000	0.000	-598.958	-197.703	1726.149	-598.553	-103.565	1725.786	-698.263	-75.316	1724.382	-634.999	-56.710	1723.364
138	0.45667	0.000	0.000	0.000	-598.789	-197.273	1726.137	-598.466	-102.143	1725.884	-698.599	-75.561	1724.294	-635.554	-56.284	1723.325
139	0.46000	0.000	0.000	0.000	-598.711	-197.000	1726.090	-598.920	-101.905	1725.827	-698.872	-75.660	1724.240	-635.996	-56.037	1723.270
140	0.46333	0.000	0.000	0.000	-598.538	-196.478	1726.082	-599.477	-101.874	1725.750	-699.321	-75.582	1724.227	-636.550	-55.333	1723.354
141	0.46667	0.000	0.000	0.000	-598.339	-196.007	1726.044	-599.247	-100.219	1725.898	-699.790	-75.509	1724.247	-637.141	-55.096	1723.328
142	0.47000	0.000	0.000	0.000	-598.189	-195.550	1726.051	-600.057	-100.497	1725.749	-700.277	-75.123	1724.365	-637.499	-55.108	1723.179
143	0.47333	0.000	0.000	0.000	-597.731	-194.322	1726.119	-600.267	-100.046	1725.747	-700.584	-75.434	1724.256	-638.215	-54.416	1723.282
